time,f0_x,f0_y,f0_z,f1_x,f1_y,f1_z,f2_x,f2_y,f2_z
61.37951832852897,-0.0022596807001951102,281.99135014905454,116.37078447008342,244.21129623352965,-140.9984855431651,116.37123551835771,-244.21617066684,-140.99869054402913,116.37164552009693
61.389631250153194,-0.0004533346057572496,281.9575857469736,113.85160875154732,244.1820564877184,-140.97847532666407,113.85206100984924,-244.18338639208392,-140.97871968159538,113.85254971972181
61.389631250153194,-0.00013786773611634828,281.92268275335164,62.01532967534895,244.15160270487846,-140.96007302251522,62.01579332760332,-244.15234133701614,-140.96034027603233,62.01632783464639
61.41593858249478,0.003507865824620149,281.84106371834326,65.37947967765412,244.0809636443131,-140.91302609902158,65.37994425075411,-244.07457599710193,-140.91338872374348,65.38066950020571
61.42909224866558,0.005349435082679932,281.8156849054465,87.67705922648084,244.05909324828335,-140.89734707381675,87.67751130906554,-244.04909106910955,-140.89774930855003,87.67831577853435
61.49486057951956,0.008116688114748194,281.7141597564565,215.41121787880257,243.97176070567795,-140.8428906901832,215.41159407021837,-243.95647096605134,-140.84343549903178,215.41268368792112
61.50655272722693,0.0021732424022521957,281.7383286740449,291.1722277039619,243.99301522995964,-140.86585840790033,291.172575525982,-243.98955769385,-140.8663716426689,291.17360199551354
61.52116791186115,0.00406700890277778,281.7341950533403,345.53108969674895,243.9896781638362,-140.86096235254251,345.5314071269644,-243.98247870319634,-140.8615019193743,345.5324862606268
61.52116791186115,0.012288911307167805,281.6746861107389,262.87958002173536,243.9377914769747,-140.81634507457252,262.87991254193344,-243.91427413247735,-140.81695734189935,262.8811370765849
61.41043937050962,0.0027457717653722735,281.85812513565776,64.67624706659514,244.09572983814186,-140.9228606577745,64.6767114472091,-244.09083184865565,-140.92320334636366,64.67739682439522
61.42084343068783,0.004199292199455473,281.83550011659173,78.90422095392147,244.0762074803515,-140.90916212824544,78.90467759631647,-244.06845902789965,-140.90953748210234,78.90542830403469
61.4728637315789,0.008282524470194785,281.7371708953109,161.07907484624207,243.99144615663727,-140.8536552875661,161.079484265656,-243.97576454854408,-140.85416534237837,161.0805043752883
61.48211178507064,0.005821574657130513,281.73916986305005,198.57013309752426,243.99333987702,-140.8592147137333,198.57052663305728,-243.98257279294455,-140.85972051023631,198.57153822607108
